"Redirect to payment process","Weiterleitung zum Bezahlsystem"
"Please confirm your payment:","Bitte f&uuml;hren Sie nun die Zahlung durch:"
"Card brand","Kartentyp"
"Card number","Kartennr."
"Card holder","Karteninhaber"
"Card expiry","Ablaufdatum"
"day","Tag"
"month","Monat"
"year","Jahr"
"Verification number","Pr&uuml;fnummer"
"pay now","Jetzt Bezahlen"
"payment information","Zahlungsinformationen"
"Automatically invoiced by Heidelpay.","Automatische Rechnungserstellung durch Heidelpay."
"Automatically invoiced","Automatische Rechnungserstellung und Versand"
"Bookingmode","Buchungsmodus"
"Recognition","Wiederkennung"
"Sort order","Reihenfolge"
"Minimum Amount (CENT)","Minimal Betrag in Cent"
"Maximum Amount (CENT)","Maximal Betrag in Cent"
"allow specific countries","Erlaubte L&auml;nder"
"specific countries","L&auml;nderauswahl"
"always","Immer"
"no recognition","keine Wiedererkennung"
"only if shippping adress is unchanged","nur bei gleichbleibender Lieferadresse"
"Prepayment Info Text","Bitte &uuml;berweisen Sie uns den Betrag von <strong>{AMOUNT} {CURRENCY}</strong> auf folgendes Konto:<br/><br/>
		Kontoinhaber: {CONNECTOR_ACCOUNT_HOLDER}<br/>
		IBAN: {CONNECTOR_ACCOUNT_IBAN}<br/><br/>
		<i>Geben Sie als Verwendungszweck bitte ausschlie&szlig;lich diese Identifikationsnummer an:</i><br/>
		<strong>{IDENTIFICATION_SHORTID}</strong>"
"Direct Debit Info Text","Der Betrag von <strong>{AMOUNT} {CURRENCY}</strong> wird in den n&auml;chsten Tagen von folgendem Konto abgebucht:<br /><br />
			IBAN: {Iban}<br /><br/>
			<i>Die Abbuchung enth&auml;lt die Mandatsreferenz-ID: {Ident}<br />
			und die Gl&auml;ubiger ID: {CreditorId}</i><br />
			<br />
			Bitte sorgen Sie f&uuml;r ausreichende Deckung auf dem entsprechenden Konto."
"Invoice Info Text","Bitte &uuml;berweisen Sie uns den Betrag von <strong>{AMOUNT} {CURRENCY}</strong> nach Erhalt der Ware auf folgendes Konto:<br/><br/>
		Kontoinhaber: {CONNECTOR_ACCOUNT_HOLDER}<br/>
		IBAN: {CONNECTOR_ACCOUNT_IBAN}<br/>
		BIC: {CONNECTOR_ACCOUNT_BIC}<br/><br/>
		<i>Geben Sie als Verwendungszweck bitte ausschlie&szlig;lich diese Identifikationsnummer an:</i><br/>
		<strong>{IDENTIFICATION_SHORTID}</strong>"
"An unexpected error occurred. Please contact us to get further information.","Es ist ein Fehler aufgetreten. Bitte kontaktieren Sie uns f&uuml;r weitere Informationen."
"continue","Weiter"
"Please enter additional payment information.","Geben Sie weitere Zahlungsinformationen ein."
"recived amount ","eingegangener Betrag "
"Push information from Heidelpay","Push Information von Heidelpay"
"Direct Booking","Sofortbuchung"
"Preauthorisation","Reservierung"
"Expires","Ablaufdatum:"

"Credit Card","Kreditkarte"
"Debit Card","Debitkarte"
"Debitcard","Debitkarte"
"Direct Debit","Lastschrift"
"SOFORT &Üuml;berweisung","SOFORT &Uuml;berweisung"
"Giropay","Giropay"
"Pay Pal","PayPal"
"EPS","EPS"
"iDeal","iDeal"
"Prepayment","Vorkasse"
"Invoice","Rechnung"
"BillSafe","Kauf auf Rechnung"
"MasterPass","MasterPass"
"MASTER","MasterCard"
"VISA","Visa"
"AMEX","American Express"
"MAESTRO","Maestro"
"DISCOVER","Discover"		
"DINERS","Diners Club"
"Payolution","Payolution Rechnungskauf"

"Deschcdcc","Sicher zahlen mit Kreditkarte"
"Deschcddc","Sicher zahlen mit Debitkarte"
"Deschcddd","Sicher zahlen mit Lastschrift"
"Deschcdeps","Sicher zahlen mit EPS"
"Deschcdgp","Sicher zahlen mit Giropay"
"Deschcdide","Sicher zahlen mit iDeal"
"Deschcdpal","Sicher zahlen mit PayPal"
"Deschcdpp","Sicher zahlen mit Vorkasse"
"Deschcdpf","Sicher zahlen mit Postfinance"
"Deschcdsu","Sicher zahlen mit Sofort&uuml;berweisung"
"Deschcdiv","Sicher bezahlen per Rechnungskauf"
"Deschcdmpa","MasterPass ist eine digitale Bezahll&ouml;sung f&uuml;r den Einkauf im Internet von MasterCard, die von Banken und MasterCard direkt bereitgestellt wird. Ihre Kartendaten und Lieferadressen werden an einem gesch&uuml;tzten Ort aufbewahrt. Nachdem Sie sich registriert haben, k&ouml;nnen Sie mit wenigen Klicks sicher online einkaufen."
"Deschcdddsec","Sicher zahlen mit Lastschrift"
"Deschcdivsec","Sicher bezahlen per Rechnungskauf"
"Deschcdivpol","Sicher bezahlen per Payolution Rechnungskauf"

"Return in Errorcase","R&uuml;ckleitung bei Bezahlfehler"
"Please configurate where your costumer should be redirected to in case of an payment error","Hier k&ouml;nnen Sie einstellen, wo der Kunde in Fehlerfall hingeleitet werden soll."
"Basket","Warenkorb"
"Use Testsystem","Testsystem Betrieb"
"If is set to yes, transactionis use the sandbox system and the TRANSACTION.MODE=CONNECTOR_TEST, otherwise real payment will be used with mode LIVE. For details see integration basisc documentation.","Wenn ja eingestellt ist, werden alle Transaktionen auf dem Testsystem durchgef&uuml;hrt. Ansonsten wird das Live System benutzt."
"Security Sender","Security Sender"
"User Login","User Login"
"User Password","User Password"
"Debug Log","Debug Log"
"If is set to yes, you can controll all neccessary conntetion Data in /var/log/Heidelpay.log","Wenn ja eingestellt wurde, k&ouml;nnen Sie in var/log/Heidelpay.log alle Debug Informationen einsehen."
"Invoicing over heidelpay","Heidelpay Rechnungsversand"
"Invoicing over heidelpay requires an extra contract. For more information, please contact your key account manager.","F&uuml;r Heidelpay Rechnungsversand ben&ouml;tigen Sie einen extra Vertag. Kontaktieren Sie Ihren Vertriebsansprechpartner f&uuml;r ein Angebot."
"General Settings Heidelpay","Heidelpay Einstellungen"
"about Heidelpay","&Uuml;ber Heidelpay"
"about MasterPass","&uuml;ber MasterPass"
"Please wait ...","Bitte warten ..."
"chargeback","Chargeback"
"debit failed","Lastschriftabbuchung fehlgeschlagen"

