"Redirect to payment process","Umleitung zu Bezahlsystem"
"Please confirm your payment:","Please confirm your payment:"
"Card brand","Card Brand"
"Card number","Card Number"
"Card holder","Card Holder"
"Card expiry","Expiry Date"
"day","day"
"month","month"
"year","year"
"Verification number","Verification Number" 
"pay now","Pay now"
"payment information","payment information"
"Automatically invoiced by Heidelpay.","Automatically invoiced by Heidelpay."
"Automatically invoiced","Automatically invoiced"
"Bookingmode","Bookingmode"
"Recognition","Recognition"
"Expires","Expires:"
"Sort order","Sort order"
"Minimum Amount (CENT)","Minimum Amount (CENT)"
"Maximum Amount (CENT)","Maximum Amount (CENT)"
"allow specific countries","allow specific countries"
"specific countries","specific countries"
"always","always"
"no recognition","no recognition"
"only if shippping adress is unchanged","only if shipping address is unchanged"
"Prepayment Info Text","Please transfer the amount of <strong>{AMOUNT} {CURRENCY}</strong> to the following account<br /><br />
		Holder: {CONNECTOR_ACCOUNT_HOLDER}<br/>
		IBAN: {CONNECTOR_ACCOUNT_IBAN}<br/><br/>
		<i>Please use only this identification number as the descriptor :</i><br/>
		<strong>{IDENTIFICATION_SHORTID}</strong>"
"Direct Debit Info Text","The amount of <strong>{AMOUNT} {CURRENCY}</strong> will be debited from this account within the next days:<br /><br />
		IBAN: {Iban}<br /><br/>
		<i>The booking contains the mandate reference ID: {Ident}<br >
		and the creditor identifier: {CreditorId}</i><br />
		<br />
		Please ensure that there will be sufficient funds on the corresponding account."	
"An unexpected error occurred. Please contact us to get further information.","An unexpected error occurred. Please contact us to get further information."
"Invoice Info Text","Please transfer the amount of <strong>{AMOUNT} {CURRENCY}</strong> after receiving your order to the following account<br /><br />
		Holder: {CONNECTOR_ACCOUNT_HOLDER}<br/>
		IBAN: {CONNECTOR_ACCOUNT_IBAN}<br/><br/>
		BIC: {CONNECTOR_ACCOUNT_BIC}<br/><br/>
		<i>Please use only this identification number as the descriptor :</i><br/>
		<strong>{IDENTIFICATION_SHORTID}</strong>"
"continue","continue"
"Please enter additional payment information.","Please enter additional payment information."
"recived amount ","received amount "
"Push information from Heidelpay","Push information from Heidelpay"
"Direct Booking","Direct Booking"
"Preauthorisation","Preauthorization"

"Credit Card","Credit Card"
"Debit Card","Debit Card"
"Debitcard","Debitcard"
"Direct Debit","Direct Debit"
"Sofort","Sofort"
"Giropay","Giropay"
"PayPal","PayPal"
"EPS","EPS"
"iDeal","iDeal"
"Prepayment","Prepayment"
"Invoice","Invoice"
"Mangirkart","MangirKart"
"BillSafe","BillSafe"
"MasterPass","MasterPass"
"Santander Invoice","Invoice by Santander"
"MASTER","MasterCard"
"VISA","Visa"
"AMEX","American Express"
"MAESTRO","Maestro"
"DISCOVER","Discover"		
"DINERS","Diners Club"
"Payolution","Payolution Invoice"

"Deschcdcc","Pay safe and secure with credit card"
"Deschcddc","Pay safe and secure with debit card"
"Deschcddd","Pay safe and secure with direct debit"
"Deschcdeps","Pay safe and secure with EPS"
"Deschcdgp","Pay safe and secure with Giropay"
"Deschcdide","Pay safe and secure with iDeal"
"Deschcdpal","Pay safe and secure with PayPal"
"Deschcdpp","Pay safe and secure with Prepayment"
